,author,time,message
7,TC,2021-03-26 09:16:16,"Next slide please

The next area of interest is blood and particularly the emergency movements of blood.  There are routine blood movements between hospitals all the time.  In the middle here, you can see blood bags that are being moved from Southampton General Hospital across on the ferry to St. Mary's on the Isle of Wight.  You can see the VersaPacks on the left. They're quite heavy load, sometimes up to 13 kilograms, but instead more emergency ad hoc movements of blood that might be more suitable for movement via drones. That's another interesting area."
8,TC,2021-03-26 09:16:50,"Next slide, please. 

I think the really interesting one is what we call cytotoxic drugs or chemotherapy treatments.  And this is where there's been quite a lot of interest because they're obviously very high value of some of these drugs. So, you know, several thousand pounds per unit for one patient.  And they have often have a very short shelf life because a lot of drugs are bespoke, made for the patients.  They are part of a patient care plan. They had to be made and then transported.  And often in the case of some drugs have to be administered to the patients within four and a half hours of being made to is tailor made for a kind of drone transport solution.  And certainly in the case of the Isle of Wight, St Mary's Hospital lost its aseptic medicine unit in the summer of last year. So now all their medicines are made offsite and at the moment they have to be made. And it's a taxi ride, a ferry or a hovercraft. And then another taxi ride up. So, again, it's the potential implication on patient care of speeding this up and patients not having to potentially travel to the mainland to receive treatment. So there's quite a lot of interest in that particular one."
9,TC,2021-03-26 09:17:53,"Next slide please

So we have quite a bit of experience on trying to operate a large fixed wing drone as part of the air bridge trial that was undertaken as part of the Future Transport Zone project back in between March and May last year, where we use the ultra aircraft. You can see in the bottom picture there.

And we were flying between Leea- on- Solent and Binstead on the Isle of Wight.  And the idea here was really to see whether we could set up a service that could be used in the event of there being significant issues with the current logistics system serving the Isle of Wight.  And thankfully, everything ran pretty smoothly from that perspective. But it was a very good example of how we integrate with manned aircraft, how we communicate with Air Traffic Control 1, holding patterns, transitioning to beyond visual line of sight.  And Jim will come onto this in a bit more detail."
10,TC,2021-03-26 09:18:43,"Next slide, please.

This little video hopefully will play for you.  It's a bit jerky, but this is Ultra actually one of its flights going from Lea on Solent over to BinstedBinstead So Ultra is really designed to carry 100 kilograms, a thousand kilometres.  So it's been designed really for working places like Africa. It has a lot of sophisticated technology on it. It particularly features having no single points of failure. So in terms of the avionics and Jim and the team will be to answer any specific questions on this, but that's one of the whole points. It's got to be robust technology that can work in various hostile environments.  And so this will be the approach coming into BinstedBinstead. So the idea was we could we could basically carry a range of different cargos in this the payload.  This area is about the size of an estate car boot, to give you some idea.  So it was a very interesting introduction into how we might utilise aircraft like this in the future.  So, I've got to hand over to Jim now to talk a little bit more about some of the issues that we had in terms of managing shared airspace in this in this particular instance.  And Jim will be able to take this forward a bit more detail. Over to you Jim."
3,GA Pilot 23,2021-03-26 09:19:00,How many transits between Lee-on-Solent and Binstead were completed during the trial?
11,JS,2021-03-26 09:19:53," Can you hear me? Yeah, I got you. Good.  So, for those who don't know me on Jim Scanlan, I'm ex Airbus, ex British Aerospace before I move into academia and I currently lead the drone activities at Southampton University and more importantly, from my personal perspective I am a keen GA pilot so I have share in an aircraft and fly from Thruxton, I'm delighted to say I've already got my check flight to resume flying.  

So what's all the fuss about? The answer is TDAs, so I'm very grateful to Steve Slater's LAA column I didn't realise this, but there's something like 80 applications for B.V. loss BVLoS in the UK currently.  And that involves effectively putting brick walls up in particularly class G airspace which is certainly very unpopular with air space users.  It segregates airspace. It's inefficient. So when they're active, we restrict the airspace to exclude all other airspace users.  They tend to be owned. So each TDA is owned by someone. So it tends to be only used by UAV operation at a time.  They're temporary. And they involve a huge amount of effort.   And so we understand the frustrations and the annoyance associated with TDAs.  They're not the long-term solution. And really, this session is asking the question, is there an alternative? Can we do something else relatively quickly?"
12,JS,2021-03-26 09:19:59,"So next slide, please. 

So quick status update. So as airspace used as whether we like it or not, there is strong demand for public good drone services and I believe that o	 might be on the call. So he is heading a project to to, amongst other things, use drones in the Highlands and islands and maybe he can help us explore that issue. And certainly I have relatives that live in the Shetland's who are all saying we want drones.  We would like to be to have better logistics connections."
4,Facilitator,2021-03-26 09:21:00,"Thanks Jonathan, weâ€™ll return to that during questions"
13,JS,2021-03-26 09:21:49,"Next point, please. I think the low hanging fruit for all of this and what I mean by that is, is to develop real services is the start in what we call low risk areas, and they happen to be remote regions that already have poor logistics connections so it makes sense to stop it. Next point. 

We believe there arenâ€™t any acceptable airspace management tools that will be widely accepted by the airspace community."
5,Microlight pilot 7,2021-03-26 09:22:00,Statement of needs often downplay alternates. Hovercraft transit about the same time. Importantly what are drone weather limitations? Vans and ferry will operate in all weathers - Skyports Oban trial said they couldnt operate 40% of time due wind so have extended trial. Important issue.
14,JS,2021-03-26 09:22:32,"Next point.  

I know a fair that's UTM, and I have been following all the Jarus JARUS and ALSAEASA developments. My personal opinion is that it may well be five years away before it's fully implemented.  So, we don't want to wait for UTM. And even when it arrives."
15,JS,2021-03-26 09:22:56,Next point.  I think it's overkill for low risk regions because it implies a service essentially and I'll explain what I mean by that.
6,GA Pilot 18,2021-03-26 09:23:00,Lots of demand when there is no cost to users and government grants paying providers
7,GA Pilot 30,2021-03-26 09:23:00,"where is the ""demand"" from ? There does not appear to have been a business case published for any TDA examining the drone versus alternates"
16,JS,2021-03-26 09:23:36,"next point. 

And for logistics operations, it's a big worry as to the cost of UTM because logistics carriers operate on wafer thin margins. And so cost is a very important issue in designing solutions."
17,JS,2021-03-26 09:23:50,"Next, slide. Sorry, I didn't mean slide I meant bullet point. So the overarching issue is how do we better manage integration of drones into shared airspace?"
18,JS,2021-03-26 09:24:18,"So now next slide.

So to be honest, our thinking was triggered by editorials like these, and I'm very grateful to the various journalists and editors of  Publications like Pilot and Flyer, so chopping out great chunks of Class G airspace exclusively for drones is unacceptable and has to be resisted.  You know what? I agree. So, we started making a wish list of what we would like. So, number one, we want something that doesn't involve segregation. We want some air space that's renewable so that if it works and it's acceptable, it becomes a more permanent fixture. We don't want it to be reliant on UTM. We'd like it to be robust and simple. We'd like to facilitate multiple drone operators.  We appreciate that it's only applicable in low air traffic density areas.  It wasn't operating complex airspace and high-density airspace in high risk areas. 
But actually, that's where the low hanging fruit lies. So that's where our interest lies.

I'm going to talk about compliance in a second. But we're only proposing this for compliant and therefore quite sophisticated drones. And it's obviously going to be using some form of transponder technology, but we want to make that as transponder technology agnostic as possible.  And finally, there's no point in doing all of this unless we can do it relatively quickly.  If this is going to be five years away, then it's perhaps not worth pursuing."
19,JS,2021-03-26 09:24:26,"OK. Next slide, please. 

So, this is a very rough draught of our vision, and we're calling it class Lima might be stupid name and that's something we'd like to debate later on. But for now, that's what we're calling it. So, the idea is that we would designate an area of operation so it would have boundaries and it would have height altitude limits and all drone operators within this area would publish not only the status of the life status of every platform, but also the intentions, i.e. the flight plans so that airspace users could quite easily using a tablet or smartphone see what's going on in this airspace, both in terms of intentions and live status of all platforms."
8,GA Pilot 3,2021-03-26 09:25:00,UTM in 5 years is very ambitious
9,GA Pilot 18,2021-03-26 09:25:00,"You need autonomous detect and avoid certified for every BVLOS drone, so no need for segregation"
10,Facilitator,2021-03-26 09:26:00,Please keep the questions and comments coming â€“ these are really useful points
11,Other 1,2021-03-26 09:26:00,"Wish list - Also needs to work in all terrains, e.g. around high ground and associated valleys"
12,Model Aircraft Flyer,2021-03-26 09:26:00,Sounds like it would preclude the model flyers???
20,JS,2021-03-26 09:26:25,Next point. We believe it would be a good idea if all drones operating in this area were capable of automatic collision avoidance and we've started trying this on a variety of drones at the university so that the drones automatically a bit TCAS-like like avoid other EC. sources.  And this is relatively simple and it seems to work reasonably well.  It seems to be a sensible thing to do. It's a final layer in the safety stack.
14,R and D 3,2021-03-26 09:27:00,"@GA Pilot 18: yes, but who certifies that the detect and avoid algorithms are good enough, and how do we get stakeholders to accept less than perfect (ie, there will always be a level of uncertainty and less than 100% accuracy on these tasks). What is good enough? And who decides?"
13,Drone User 7,2021-03-26 09:27:00,PWC wrote a detailed review of business cases 2 months ago for different drone use cases
15,GA Pilot 30,2021-03-26 09:27:00,see and avoid based on transponders (for everyone else) is impractical. UAV technology needs to be complete capability in tha regard - it is available
16,GA Pilot 33,2021-03-26 09:27:00,"The issue is if the GA aircraft EC has to be certified equipment and installation, this will be very expensive"
17,GA Pilot 30,2021-03-26 09:27:00,Class Lima - Is segregation
21,JS,2021-03-26 09:27:28,"Next point. We think it would make sense for drones to broadcast to suitably equipped other airspace users a ADVS-B Oout.  So, again, another opportunity for other airspace users to see nearby drones in this area."
18,GA Pilot 18,2021-03-26 09:28:00,"Detect and avoid already FAA certified, this is the only solution"
19,Drone Industry Interest 4,2021-03-26 09:28:00,"Autonomous DAA still requires a piece of conspicuity else you are reliant on ""radars"" instead of handshakes etc"
20,Drone Industry Interest 4,2021-03-26 09:28:00,TCAS isn't autonomous DAA for instance
21,Other 1,2021-03-26 09:28:00,Buffer zone definitions are critical to any airspace lateral and vertical definitions
22,GA Pilot 18,2021-03-26 09:28:00,"No it doesnâ€™t it relays on onboard equipment in the drone, LIDAR and radar based"
22,JS,2021-03-26 09:28:08,"Next on. And we would expect operators to also be dynamically modifying flight plans as they perceive possible airprox risks.  So if they see a track that's entering this airspace, they would be very conservative and manoeuvre to minimise airprox risks.  And like I say, a bit about airprox shortly."
23,JS,2021-03-26 09:28:29,"Next point.

Another thing that we're toying with is the idea UAVs all broadcasting automatically on VHF position reports on either public and published frequency or something like Safety-com.  So again, this is another layer of safety so that, for example, manned aircraft could detect and listen out on the VHF frequency. And get position reports very latest flight from each drone for example.  Whether we're allowed to do this, we don't know.  And we understand issues of congested VHF frequencies.  We're in discussion with Ofcom about this as a possibility, but it's relatively simple for us to do."
24,JS,2021-03-26 09:28:58,"Next point. 

And we would like the UAVs in this zone to perhaps embody some good airmanship rules and it's a thing called multi spherical compliance, which I'll talk about very shortly, where drones effectively fly pattens."
25,GA Pilot 33,2021-03-26 09:29:00,Think VHF position reports is a sensible option - works well for aircraft in existing class G
26,Microlight Pilot 7,2021-03-26 09:29:00,"I agree with [GA Pilot 30] and GA Pilot 18. Detect and Avoid on NON-cooperative targets (wires, birds, parascenders, model planes, masts, hobby drones) is the key and until this technology is mature enough the industry isn't ready - all these proposals gloss over true DAA."
23,Air Traffic Control 1,2021-03-26 09:29:00,"The DfT has offered grants for transponders, these were. Due to be mandated by 2022"
28,GA Pilot 3,2021-03-26 09:29:00,there is no mandate for transponders pending with CAA
29,Other 1,2021-03-26 09:29:00,There are no proposals for mandated EC
24,Drone User 6,2021-03-26 09:29:00,Have you considered frequency congestion if VHF auto broadcast?
27,GA Pilot 30,2021-03-26 09:29:00,broadcasting position - is placing avoid responsibility on other pilots - unreasonable
25,JS,2021-03-26 09:29:58,"Next slide, please. So, we've been doing a lot of risk modelling and airspace simulation. And the reason we've been doing that, so both air risk and ground risk modelling is that we're starting to follow a thing called SORA.  So this the ARSOEASA/JARUS thinking that I actually like and I think it makes sense. So we want to make sure that anything we do is SORA a compliant in the future.  This essentially requires you to undertake two steps. One is to work out the ground risks that is associated with your operation.  And if it's higher than a certain threshold, you're simply not allowed to operate.  And in the bottom right, my colleague Alex has been doing a lot of simulation work. 

And one of the tools we've developed, which is going to be an open source, two, is an automatic drone path planning tool that understands the ground risk.  And so, for instance, include lots of GIS data as well as traffic modelling.  So essentially answers the question, where are people likely to be?  And so it's time-based. It varies throughout the day, depending on where people like to be. And then in terms of the multi spherical rule,"
30,GA Pilot 33,2021-03-26 09:30:00,Have you ruled out see and avoid as part of the solution - so make drones highly visible
31,GA Pilot 6,2021-03-26 09:30:00,"VHF transmission idea good, but can't be on different freq from main ATC in area. Few GA have twin freq reception"
32,GA Pilot 1,2021-03-26 09:30:00,"Experience so far with Skyports in Scotland has been very poor. There is now a total lack of trust. They did not engage with GA, despite claiming otherwise, they avoid difficult questions, and provide misleading info. Their ADSB-out does not work. And the TDAs are far too wide. 3km, for 6 flights a day?"
33,GA Pilot 18,2021-03-26 09:30:00,"Commercial drone operators arenâ€™t providing transponders or any EC free of charge to other airspace users, so you are expecting other airspace users to purchase equipment for your benefit to subsidise your operation. Totally unacceptable"
34,GA Pilot 30,2021-03-26 09:30:00,second [GA Pilot 1] !
26,JS,2021-03-26 09:30:23,"So can we just advance the slides for one click?

Alex has been doing lots of airprox simulation, so taking a block of air space, populating it with lots of drones, flying random paths and if those drones follow flight patterns, what's the effect? And this is very similar to the quadrantalgle rule that is now defunct and is now the semi-circular rule.
But the advantage of drones is that they are likely, if they are programmed to do so, to follow those rules very slavishly and fly very accurately and so there's potentially a benefit in getting drones to follow a pattern.  They will be less likely to suffer air proxsy with each other."
37,Other 1,2021-03-26 09:31:00,Not just frequency congestion but also individual channel congestion
38,Drone User 7,2021-03-26 09:31:00,"The big question is, how do general aviation pilots see and avoid drones, unless they can see them? Drones are too small for VFR deconfliction. Some form of EC is required?"
35,Air Traffic Control 1,2021-03-26 09:31:00,Sense and avoid is a basic requirement of equitable access to airspace
36,GA Pilot 3,2021-03-26 09:31:00,Manned aviation cannot see drones therefore drones need to take avoiding action
27,JS,2021-03-26 09:31:55,"OK. Next slide, please. 

So I'm sure many people on this call will be aware of they the Goodwood incident so there's a public AAIB report which reports on a crash of a drone.  And there's a lot of lessons to learn from that. And quite a lot of drones still use and have used hobby grade components and systems that are perhaps not good enough and perhaps not sufficiently airworthy for the sorts of things that we want to do.  There's currently a lack of standards, and I'm not sure if it will ever be possible to write a certification document for drones.  And certainly if that's possible, it's probably going to be a long time away.  So we're starting to develop what we called a shared knowledge repository. So it's a document that we'll be very happy to share. In fact it's on our website where we've listed experience and suggestions for aircraft in the future that might want to access something like Class Lima, which defines a minimum set of airworthiness standards.  It's not a formal document. It's not a legal document. It's just a checklist essentially of lessons learnt.  And we would certainly be interested in people collaborating and developing this into a more formal document, perhaps."
39,Air Traffic Control 1,2021-03-26 09:32:00,"GA Pilot 18 - grants have already been offered for transponders, donâ€™t miss the offer! (DfT, CAA)"
40,Other 1,2021-03-26 09:32:00,Slide shows ground buffer different from air buffer?
41,GA Pilot 30,2021-03-26 09:32:00,If drones operated under the same reliability / safety rules as manned aircraft there would be no need to route differently for ground risks. Permit aircraft proven reliability before flying over built up areas for instance
28,JS,2021-03-26 09:32:49,"Next slide, please. 

For the Ultra Drone, it's big and heavy. Therefore, higher risk. It's certainly in the specific category of drones and we work very hard right from the word go to make sure it is as airworthy as possible.  So it literally has no single points of failure on the aircraft.  You may notice, for example, twin engines. We followed good aircraft design practice.  So you'll see in the bottom left photo lots of structural testing of the structure.  We have multi-layer fault tolerant command and control communications links in particular We have very high integrity avionics. Next slide, please.

So this was a big issue for us, actually, because finding a flight control system, so an autopilot system that is affordable, yet very high integrity and robust was something we found very difficult and in the end, we have a spin out from the investor developed a system that we call masterless.  The idea is that you can simply add resources and so you can add autopilots we typically fly with at least three autopilots. A no one of those autopilots is controlling the aircraft. And if one of them fails for some reason, it's a non-event for very high-risk flights.  You could add more than three auto pilots. In fact, that applies to all resources on the aircraft.  So, altitude control, navigation technology, pitot static systems we can we can simply add multiple units seamlessly.  And it was all about genuinely being able to declare that we have zero points of failure on this aircraft.  And believe you me, we've been through a very bruising encounter with the CAA's top rottweiler for the past couple of weeks crawling all over our system to give us full air worthiness to fly a variety of missions."
46,Other 1,2021-03-26 09:33:00,"Some ""Hobby"" products are better than some of the ""professional"" products"
48,GA Pilot 22,2021-03-26 09:33:00,Is class Lima any different from a mode S ES TMZ?
47,GA Pilot 3,2021-03-26 09:33:00,Drones RPAS UAM UAS what is the clsssification
45,Air Traffic Control 1,2021-03-26 09:33:00,"Unmanned aircraft canâ€™t â€˜sense and avoidâ€™ in the same way as manned aircraft, hence the need for a different solution"
44,GA Pilot 18,2021-03-26 09:33:00,"Commercial drone operators should be spending their time certifying a reliable autonomous detect and avoid system, when this is certified there should be no need for any segregation and they can operate when they like below 400ft with no requirement for any other airspace users to buy equipment"
43,GA Pilot 5,2021-03-26 09:33:00,"This is a very good, professional presentation, albeit with some areas that need refinement. However the UAS industry and CAA needs to be more diligent in policing other members of its community who don't meet such standards. They are damaging confidence in and the credibility of the industry."
42,GA Pilot 32,2021-03-26 09:33:00,Goodwood debacle. It was a LOT more than an incident.
49,GA Pilot 1,2021-03-26 09:34:00,It will cost approx Â£1500 to upgrade my Filser mode s transponder to ADSB out. Who pays for that?
51,GA Pilot 18,2021-03-26 09:34:00,"They can sense and avoid, itâ€™s done in the US, if they canâ€™t sense and avoid you may as well forget them then"
52,Air Traffic Control 1,2021-03-26 09:34:00,"Goodwood was an example of why the CAA needed to â€˜step upâ€™ to UAS certification, which is now has"
53,GA Pilot 30,2021-03-26 09:34:00,reliability - ARP4761 is a model for airworthiness
50,Microlight Pilot 7,2021-03-26 09:34:00,"GA Pilot 18 is correct, True DAA on all targets, cooperative and non cooperative below 400ft is the key"
29,JS,2021-03-26 09:34:32,"OK, next slide. 

So we want to go through a number of steps, so step one is this event to talk to a cross-section of airspace users to see whether you think this is a good idea or not and to get your views and to help shape this idea before we take it any further.  And if it looks like a good idea and if we get support for this, we're going to propose we do some trials and sadly, initially, we will probably have to do that in segregated airspace but we would like to open that up. And inevitably will want to operate multiple drones in that airspace.  We happen to have manned test aircraft owned by the university.  So we will use that to do a lot of our testing. We want to test the multi spherical rule.  And there's all sorts of questions about what height standards you use for that pressure altitude, flight level, geo altitude, all sorts of research questions that we want to test the VHF out to see whether that works, whether it's useful for nearby aircraft to hear what drones are doing.  And of course, we've got a stack of work to do on ECD detection and avoidance trials. I know that we have representatives from a company called Neuron on call and we'll be collaborating with them to work out how best to approach this."
56,Glider Pilot 4,2021-03-26 09:35:00,"Very interested in learning more about the 'class L' operating technology options/ideas, and how that fits with existing developments around emerging TDA replacement opportunities."
55,Air Traffic Control 1,2021-03-26 09:35:00,"You need to think in terms of deconfliction at strategic (flight planning), operational - more to follow, and tactical levels. DAA is just the tactical level"
54,GA Pilot 18,2021-03-26 09:35:00,"Remember itâ€™s not just GA aircraft you have to avoid, itâ€™s paragliders, model fliers, birds, hobby drones, you arenâ€™t going to get them all to buy and fit expensive equipment"
60,R and D 1,2021-03-26 09:36:00,Agree
59,GA Pilot 18,2021-03-26 09:36:00,A TMZ is just more segregation
58,Air Traffic Control 1,2021-03-26 09:36:00,All airspace users have to be conspicuous..
57,Microlight Pilot 7,2021-03-26 09:36:00,Class L just a TMZ?
